127.0.0.1 - - [28/Jun/2021:10:09:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:09:28 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:09:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:11:24 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:21:03 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:21:21 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:24:27 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:30:45 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:30:51 +0900] "GET /04.css_basic/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:30:52 +0900] "GET /04.css_basic/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:30:53 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:30:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:31:04 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:31:05 +0900] "GET /04.css_basic/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:31:12 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:31:45 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:35:08 +0900] "GET /04.css_basic/index.html HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:42:19 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:42:19 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:00 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:00 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:02 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:02 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:11 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:11 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:12 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:12 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:17 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:17 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:40 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:44:40 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:47:12 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:47:12 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:17:58 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:17:59 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:19:26 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:19:27 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:20:50 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:20:50 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:21:16 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:21:16 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
